"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)"
"Wijk 03 Staphorst (buitengebied)";"Staphorst                               ";1440;1420;5;10
"Verspreide huizen Lankhorst";"Staphorst                               ";175;170;0;0
"Verspreide huizen Leyen";"Staphorst                               ";395;390;0;0
"Verspr.h. Berger Achthoven en omgeving";"Staphorst                               ";110;110;0;0
"Verspreide huizen Heidehoogten";"Staphorst                               ";155;155;0;0
"Verspr.h. Rechterensweg en omgeving";"Staphorst                               ";610;595;5;15
"Wijk 04 IJhorst";"Staphorst                               ";1575;1425;70;80
"IJhorst";"Staphorst                               ";820;720;45;45
"Verspreide huizen IJhorst";"Staphorst                               ";760;705;25;30
"Wijk 05 Punthorst";"Staphorst                               ";980;940;20;20
"Verspreide huizen Punthorst";"Staphorst                               ";980;945;20;20
"Wijk 06 Lankhorst";"Staphorst                               ";320;325;5;5
"Verspreide huizen Lankhorst";"Staphorst                               ";320;325;5;0
"Wijk 07 Klooster";"Staphorst                               ";60;55;5;0
"Verspr.h. Zwartewatersklooster en Holtru";"Staphorst                               ";55;55;5;0
"Stede Broec";"Stede Broec                             ";22217;18558;1844;1815
"Stede Broec Buitengebied";"Stede Broec                             ";205;130;70;0
"Lutjebroek buitengebied noord";"Stede Broec                             ";50;25;30;0
"Grootebroek buitengebied noord";"Stede Broec                             ";50;45;0;0
"Bovenkarspel buitengebied noord";"Stede Broec                             ";100;65;35;0
"Stede Broec Noord";"Stede Broec                             ";11680;10370;730;585
"Lutjebroek";"Stede Broec                             ";2170;1925;170;70
"Oosterweed";"Stede Broec                             ";1320;1150;70;100
"Oud Grootebroek";"Stede Broec                             ";1490;1235;175;85
"Zesstedenpark";"Stede Broec                             ";465;430;15;25
"Hooge Sluis";"Stede Broec                             ";1105;935;85;80
"Noordertocht";"Stede Broec                             ";475;435;20;20
"Rozeboom";"Stede Broec                             ";2305;2135;95;80
"Centrum";"Stede Broec                             ";145;125;10;5
"Zuidervoert";"Stede Broec                             ";765;685;25;50
